Rk,Player,CleanPlayer,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Goalsper90,Assistper90,G+A,G-PKper90,G+A-PK,xG,npxG,xA,npxG+xA,xGoalsper90,xAssistper90,xG+xA,npxGper90,npxG+xAper90,TransferMarketvalue
31,Kepa Arrizabalaga,Kepa Arrizabalaga,es ESP,GK,Chelsea,26-174,1994,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14300000
37,César Azpilicueta,Cesar Azpilicueta,es ESP,DF,Chelsea,31-210,1989,19,17,1581,17.6,1,1,1,0,0,4,0,0.06,0.06,0.11,0.06,0.11,0.8,0.8,1.8,2.5,0.04,0.1,0.14,0.04,0.14,18700000
76,Willy Caballero,Willy Caballero,ar ARG,GK,Chelsea,39-179,1981,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330000
91,Ben Chilwell,Ben Chilwell,eng ENG,DF,Chelsea,24-095,1996,21,21,1756,19.5,2,4,2,0,0,3,0,0.1,0.21,0.31,0.1,0.31,1.6,1.6,1.5,3,0.08,0.08,0.16,0.08,0.16,55000000
93,Andreas Christensen,Andreas Christensen,dk DEN,DF,Chelsea,24-350,1996,12,11,999,11.1,0,0,0,0,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.3,0,0.03,0.03,0,0.03,30800000
166,Billy Gilmour,Billy Gilmour,sco SCO,MF,Chelsea,19-288,2001,2,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7700000
167,Olivier Giroud,Olivier Giroud,fr FRA,FW,Chelsea,34-177,1986,14,8,707,7.9,4,0,4,0,0,1,0,0.51,0,0.51,0.51,0.51,3.9,3.9,0.7,4.6,0.49,0.09,0.58,0.49,0.58,5500000
185,Kai Havertz,Kai Havertz,de GER,MFFW,Chelsea,21-288,1999,21,14,1166,13,1,2,1,0,0,2,0,0.08,0.15,0.23,0.08,0.23,3,3,1.3,4.3,0.23,0.1,0.33,0.23,0.33,77000000
198,Callum Hudson-Odoi,Callum Hudson Odoi,eng ENG,FWDF,Chelsea,20-139,2000,19,9,900,10,2,2,2,0,0,0,0,0.2,0.2,0.4,0.2,0.4,1.2,1.2,2.3,3.5,0.12,0.23,0.35,0.12,0.35,38500000
209,Reece James,Reece James,eng ENG,DF,Chelsea,21-108,1999,23,18,1723,19.1,1,2,1,0,0,3,0,0.05,0.1,0.16,0.05,0.16,1.2,1.2,2.3,3.5,0.06,0.12,0.18,0.06,0.18,44000000
217,Jorginho,Jorginho,it ITA,MF,Chelsea,29-096,1991,20,16,1437,16,6,1,0,6,8,0,0,0.38,0.06,0.44,0,0.06,6.2,0.1,1.4,1.6,0.39,0.09,0.48,0.01,0.1,49500000
224,N'Golo Kanté,NGolo Kante,fr FRA,MF,Chelsea,29-362,1991,25,21,1903,21.1,0,2,0,0,0,6,0,0,0.09,0.09,0,0.09,0.8,0.8,1.1,1.9,0.04,0.05,0.09,0.04,0.09,60500000
239,Mateo Kovačić,Mateo Kovacic,hr CRO,MF,Chelsea,26-324,1994,23,18,1519,16.9,0,1,0,0,0,2,0,0,0.06,0.06,0,0.06,0.8,0.8,1.4,2.2,0.05,0.08,0.13,0.05,0.13,49500000
303,Edouard Mendy,Edouard Mendy,sn SEN,GK,Chelsea,29-025,1992,24,24,2160,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27500000
317,Mason Mount,Mason Mount,eng ENG,MFFW,Chelsea,22-075,1999,28,25,2230,24.8,5,3,4,1,1,2,0,0.2,0.12,0.32,0.16,0.28,4.2,3.5,5.5,8.9,0.17,0.22,0.39,0.14,0.36,66000000
347,Emerson Palmieri,Emerson Palmieri,it ITA,DF,Chelsea,26-235,1994,2,0,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16500000
366,Christian Pulisic,Christian Pulisic,us USA,FW,Chelsea,22-189,1998,19,10,1080,12,1,1,1,0,0,2,0,0.08,0.08,0.17,0.08,0.17,2.9,2.9,1.8,4.7,0.24,0.15,0.39,0.24,0.39,55000000
396,Antonio Rüdiger,Antonio Rudiger,de GER,DF,Chelsea,28-023,1993,13,13,1170,13,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,0.02,0.02,0.04,0.02,0.04,27500000
423,Thiago Silva,Thiago Silva,br BRA,DF,Chelsea,36-185,1984,17,17,1457,16.2,2,0,2,0,0,3,0,0.12,0,0.12,0.12,0.12,0.8,0.8,0.2,1,0.05,0.01,0.06,0.05,0.06,3850000
488,Timo Werner,Timo Werner,de GER,FW,Chelsea,25-020,1996,28,23,2043,22.7,5,5,5,0,0,0,0,0.22,0.22,0.44,0.22,0.44,9.9,9.9,3.1,13,0.44,0.14,0.57,0.44,0.57,71500000
509,Hakim Ziyech,Hakim Ziyech,ma MAR,FWMF,Chelsea,28-007,1993,15,11,855,9.5,1,3,1,0,0,3,0,0.11,0.32,0.42,0.11,0.42,1.3,1.3,2.8,4.1,0.14,0.3,0.43,0.14,0.43,44000000
510,Kurt Zouma,Kurt Zouma,fr FRA,DF,Chelsea,26-150,1994,17,17,1530,17,4,0,4,0,0,1,0,0.24,0,0.24,0.24,0.24,1,1,0,1.1,0.06,0,0.06,0.06,0.06,35200000
1,Patrick van Aanholt,Patrick van Aanholt,nl NED,DF,Crystal Palace,30-209,1990,18,17,1504,16.7,0,1,0,0,0,2,0,0,0.06,0.06,0,0.06,1.2,1.2,0.8,2,0.07,0.05,0.12,0.07,0.12,
35,Jordan Ayew,Jordan Ayew,gh GHA,FWMF,Crystal Palace,29-196,1991,25,18,1663,18.5,1,3,1,0,0,2,0,0.05,0.16,0.22,0.05,0.22,1.8,1.8,0.6,2.3,0.1,0.03,0.13,0.1,0.13,
50,Michy Batshuayi,Michy Batshuayi,be BEL,FW,Crystal Palace,27-175,1993,16,7,702,7.8,1,1,1,0,0,0,0,0.13,0.13,0.26,0.13,0.26,1.1,1.1,1.4,2.5,0.14,0.18,0.33,0.14,0.33,
56,Christian Benteke,Christian Benteke,be BEL,FW,Crystal Palace,30-113,1990,22,13,1159,12.9,5,1,5,0,0,2,1,0.39,0.08,0.47,0.39,0.47,4.9,4.9,0.9,5.8,0.38,0.07,0.45,0.38,0.45,
77,Gary Cahill,Gary Cahill,eng ENG,DF,Crystal Palace,35-097,1985,14,14,1260,14,1,0,1,0,0,3,0,0.07,0,0.07,0.07,0.07,0.3,0.3,0.4,0.6,0.02,0.03,0.04,0.02,0.04,
95,Nathaniel Clyne,Nathaniel Clyne,eng ENG,DF,Crystal Palace,29-355,1991,13,13,1145,12.7,0,1,0,0,0,2,0,0,0.08,0.08,0,0.08,0.1,0.1,0.4,0.5,0.01,0.03,0.04,0.01,0.04,
106,Scott Dann,Scott Dann,eng ENG,DF,Crystal Palace,34-040,1987,12,12,1080,12,1,0,1,0,0,1,0,0.08,0,0.08,0.08,0.08,0.3,0.3,0,0.4,0.03,0,0.03,0.03,0.03,
140,Eberechi Eze,Eberechi Eze,eng ENG,MF,Crystal Palace,22-270,1998,27,22,1961,21.8,3,3,3,0,0,3,0,0.14,0.14,0.28,0.14,0.28,1.5,1.5,1.7,3.2,0.07,0.08,0.15,0.07,0.15,
178,Vicente Guaita,Vicente Guaita,es ESP,GK,Crystal Palace,34-075,1987,29,29,2610,29,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
238,Cheikhou Kouyaté,Cheikhou Kouyate,sn SEN,DF,Crystal Palace,31-095,1989,27,26,2313,25.7,1,0,1,0,0,0,0,0.04,0,0.04,0.04,0.04,0.8,0.8,0.1,0.9,0.03,0.01,0.04,0.03,0.04,
289,Jean-Philippe Mateta,Jean Philippe Mateta,fr FRA,FW,Crystal Palace,23-271,1997,4,2,170,1.9,1,0,1,0,0,0,0,0.53,0,0.53,0.53,0.53,0.2,0.2,0,0.2,0.08,0.01,0.09,0.08,0.09,
293,James McArthur,James McArthur,sco SCO,MF,Crystal Palace,33-170,1987,18,17,1466,16.3,0,2,0,0,0,3,0,0,0.12,0.12,0,0.12,0.2,0.2,0.9,1.1,0.01,0.05,0.07,0.01,0.07,
296,James McCarthy,James McCarthy,ie IRL,MF,Crystal Palace,30-134,1990,11,7,541,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.01,0.02,0,0.02,
306,Luka Milivojević,Luka Milivojevic,rs SRB,MF,Crystal Palace,29-353,1991,25,21,1853,20.6,1,1,0,1,1,7,1,0.05,0.05,0.1,0,0.05,1.4,0.6,1.2,1.8,0.07,0.06,0.12,0.03,0.09,
312,Tyrick Mitchell,Tyrick Mitchell,eng ENG,DF,Crystal Palace,21-206,1999,13,13,1170,13,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0.01,0.03,0.03,0.01,0.03,
380,Jaïro Riedewald,Jairo Riedewald,nl NED,MF,Crystal Palace,24-198,1996,25,13,1344,14.9,2,0,2,0,0,2,0,0.13,0,0.13,0.13,0.13,0.6,0.6,0.9,1.5,0.04,0.06,0.1,0.04,0.1,
402,Mamadou Sakho,Mamadou Sakho,fr FRA,DF,Crystal Palace,31-041,1990,4,3,276,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,
411,Jeffrey Schlupp,Jeffrey Schlupp,gh GHA,MF,Crystal Palace,28-093,1992,18,12,1026,11.4,2,1,2,0,0,2,0,0.18,0.09,0.26,0.18,0.26,1.3,1.3,0.9,2.2,0.11,0.08,0.2,0.11,0.2,
454,James Tomkins,James Tomkins,eng ENG,DF,Crystal Palace,31-362,1989,5,4,388,4.3,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02,
458,Andros Townsend,Andros Townsend,eng ENG,MFFW,Crystal Palace,29-253,1991,27,20,1805,20.1,1,4,1,0,0,0,0,0.05,0.2,0.25,0.05,0.25,1.6,1.6,2.5,4.1,0.08,0.12,0.2,0.08,0.2,
482,Joel Ward,Joel Ward,eng ENG,DF,Crystal Palace,31-148,1989,17,16,1446,16.1,0,1,0,0,0,3,0,0,0.06,0.06,0,0.06,0,0,0.4,0.4,0,0.02,0.02,0,0.02,
505,Wilfried Zaha,Wilfried Zaha,ci CIV,FW,Crystal Palace,28-136,1992,21,20,1802,20,9,2,7,2,2,4,0,0.45,0.1,0.55,0.35,0.45,6,4.5,2.3,6.8,0.3,0.11,0.41,0.23,0.34,
18,Allan,Allan,br BRA,MF,Everton,30-077,1991,16,15,1331,14.8,0,0,0,0,0,4,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0.01,0.02,0.03,0.01,0.03,
60,Bernard,Bernard,br BRA,FWMF,Everton,28-199,1992,9,3,395,4.4,1,0,1,0,0,2,0,0.23,0,0.23,0.23,0.23,0.2,0.2,0.6,0.8,0.05,0.14,0.18,0.05,0.18,
79,Dominic Calvert-Lewin,Dominic Calvert Lewin,eng ENG,FW,Everton,24-010,1997,25,24,2151,23.9,14,0,14,0,0,3,0,0.59,0,0.59,0.59,0.59,12.1,12.1,1,13.2,0.51,0.04,0.55,0.51,0.55,
97,Séamus Coleman,Seamus Coleman,ie IRL,DF,Everton,32-166,1988,16,10,903,10,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.5,0.5,0.8,1.4,0.05,0.08,0.14,0.05,0.14,
109,Tom Davies,Tom Davies,eng ENG,MFDF,Everton,22-269,1998,18,12,969,10.8,0,1,0,0,0,2,0,0,0.09,0.09,0,0.09,0.1,0.1,1,1,0.01,0.09,0.1,0.01,0.1,
115,Fabian Delph,Fabian Delph,eng ENG,MFDF,Everton,31-125,1989,5,2,214,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,
123,Lucas Digne,Lucas Digne,fr FRA,DFMF,Everton,27-249,1993,20,20,1781,19.8,0,6,0,0,0,1,1,0,0.3,0.3,0,0.3,0.5,0.5,3.6,4.1,0.02,0.18,0.2,0.02,0.2,
129,Abdoulaye Doucouré,Abdoulaye Doucoure,fr FRA,MF,Everton,28-084,1993,25,25,2131,23.7,2,3,2,0,0,6,0,0.08,0.13,0.21,0.08,0.21,2,2,2.2,4.2,0.08,0.09,0.18,0.08,0.18,
168,Ben Godfrey,Ben Godfrey,eng ENG,DF,Everton,23-070,1998,21,20,1860,20.7,0,1,0,0,0,4,0,0,0.05,0.05,0,0.05,0.4,0.4,0,0.4,0.02,0,0.02,0.02,0.02,
169,André Gomes,Andre Gomes,pt POR,MF,Everton,27-239,1993,22,14,1364,15.2,0,1,0,0,0,3,0,0,0.07,0.07,0,0.07,0.3,0.3,0.5,0.8,0.02,0.03,0.05,0.02,0.05,
171,Anthony Gordon,Anthony Gordon,eng ENG,FWMF,Everton,20-030,2001,3,1,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,
196,Mason Holgate,Mason Holgate,eng ENG,DF,Everton,24-155,1996,18,18,1582,17.6,1,0,1,0,0,6,0,0.06,0,0.06,0.06,0.06,0.7,0.7,0.2,1,0.04,0.01,0.06,0.04,0.06,
205,Alex Iwobi,Alex Iwobi,ng NGA,FWDF,Everton,24-327,1996,25,15,1324,14.7,1,2,1,0,0,0,0,0.07,0.14,0.2,0.07,0.2,0.8,0.8,1.8,2.6,0.06,0.12,0.18,0.06,0.18,
225,Moise Kean,Moise Kean,it ITA,FW,Everton,21-026,2000,2,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0.21,0.21,0.21,
226,Michael Keane,Michael Keane,eng ENG,DF,Everton,28-074,1993,27,25,2271,25.2,3,1,3,0,0,3,0,0.12,0.04,0.16,0.12,0.16,1.2,1.2,0.9,2,0.05,0.03,0.08,0.05,0.08,
230,Jonjoe Kenny,Jonjoe Kenny,eng ENG,DF,Everton,24-011,1997,4,1,79,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
233,Joshua King,Joshua King,no NOR,MFFW,Everton,29-070,1992,8,0,125,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
308,Yerry Mina,Yerry Mina,co COL,DF,Everton,26-184,1994,19,19,1637,18.2,2,0,2,0,0,1,0,0.11,0,0.11,0.11,0.11,1,1,0,1,0.06,0,0.06,0.06,0.06,
332,Niels Nkounkou,Niels Nkounkou,fr FRA,DF,Everton,20-145,2000,1,1,68,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,
341,Robin Olsen,Robin Olsen,se SWE,GK,Everton,31-077,1990,5,5,450,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
359,Jordan Pickford,Jordan Pickford,eng ENG,GK,Everton,27-019,1994,23,23,2022,22.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
379,Richarlison,Richarlison,br BRA,FW,Everton,23-320,1997,24,23,1983,22,6,3,5,1,1,3,1,0.27,0.14,0.41,0.23,0.36,8,7.2,2,9.3,0.36,0.09,0.45,0.33,0.42,
392,James Rodríguez,James Rodriguez,co COL,FWMF,Everton,29-257,1991,18,16,1344,14.9,5,4,5,0,0,3,0,0.33,0.27,0.6,0.33,0.6,2.6,2.6,4.2,6.8,0.18,0.28,0.46,0.18,0.46,
420,Gylfi Sigurðsson,Gylfi Sigurdsson,is ISL,MF,Everton,31-199,1989,26,16,1504,16.7,4,4,2,2,2,1,0,0.24,0.24,0.48,0.12,0.36,3.6,2.1,3.7,5.8,0.22,0.22,0.44,0.13,0.35,
457,Cenk Tosun,Cenk Tosun,tr TUR,FW,Everton,29-292,1991,5,0,48,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.25,0.25,0,0.25,
473,João Virgínia,Joao Virginia,pt POR,GK,Everton,21-167,1999,1,0,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
478,Theo Walcott,Theo Walcott,eng ENG,FW,Everton,32-010,1989,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,Tosin Adarabioyo,Tosin Adarabioyo,eng ENG,DF,Fulham,23-183,1997,26,26,2340,26,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.3,1.3,0.04,0.01,0.05,0.04,0.05,
7,Ola Aina,Ola Aina,ng NGA,DF,Fulham,24-169,1996,26,26,2250,25,2,1,2,0,0,2,0,0.08,0.04,0.12,0.08,0.12,0.9,0.9,1.3,2.2,0.04,0.05,0.09,0.04,0.09,
25,Joachim Andersen,Joachim Andersen,dk DEN,DF,Fulham,24-299,1996,24,24,2131,23.7,1,1,1,0,0,4,1,0.04,0.04,0.08,0.04,0.08,0.6,0.6,0.5,1,0.02,0.02,0.04,0.02,0.04,
29,Alphonse Areola,Alphonse Areola,fr FRA,GK,Fulham,28-027,1993,29,29,2610,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
70,Joe Bryan,Joe Bryan,eng ENG,DFFW,Fulham,27-190,1993,12,5,468,5.2,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.03,0.03,0.06,0.03,0.06,
78,Tom Cairney,Tom Cairney,sco SCO,MF,Fulham,30-065,1991,10,9,759,8.4,1,1,1,0,0,2,0,0.12,0.12,0.24,0.12,0.24,0.7,0.7,1.4,2.1,0.08,0.17,0.25,0.08,0.25,
87,Ivan Cavaleiro,Ivan Cavaleiro,pt POR,FWMF,Fulham,27-159,1993,28,21,1901,21.1,3,0,2,1,2,2,0,0.14,0,0.14,0.09,0.09,4.9,4.2,2.4,6.6,0.23,0.11,0.35,0.2,0.31,
187,Michael Hector,Michael Hector,jm JAM,DF,Fulham,28-250,1992,4,3,263,2.9,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0.01,0.04,0.03,0.04,
222,Aboubakar Kamara,Aboubakar Kamara,mr MTN,FWDF,Fulham,26-019,1995,11,2,315,3.5,0,0,0,0,0,1,1,0,0,0,0,0,0.4,0.4,0.4,0.8,0.11,0.11,0.22,0.11,0.22,
227,Neeskens Kebano,Neeskens Kebano,cd COD,FWMF,Fulham,29-016,1992,5,1,119,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.22,0,0.22,0.22,0.22,
249,Maxime Le Marchand,Maxime Le Marchand,fr FRA,DF,Fulham,31-166,1989,2,1,123,1.4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,
250,Mario Lemina,Mario Lemina,ga GAB,MF,Fulham,27-206,1993,22,13,1184,13.2,1,0,1,0,0,3,0,0.08,0,0.08,0.08,0.08,0.8,0.8,0.7,1.5,0.06,0.05,0.11,0.06,0.11,
261,Ruben Loftus-Cheek,Ruben Loftus Cheek,eng ENG,MFFW,Fulham,25-062,1996,24,19,1661,18.5,1,0,1,0,0,3,0,0.05,0,0.05,0.05,0.05,2.9,2.9,1.4,4.3,0.16,0.08,0.23,0.16,0.23,
266,Ademola Lookman,Ademola Lookman,eng ENG,FWMF,Fulham,23-157,1997,27,25,2274,25.3,4,4,4,0,1,4,0,0.16,0.16,0.32,0.16,0.32,5.1,4.3,4.2,8.5,0.2,0.17,0.37,0.17,0.34,
278,Josh Maja,Josh Maja,ng NGA,FW,Fulham,22-089,1998,8,7,550,6.1,2,0,2,0,0,0,0,0.33,0,0.33,0.33,0.33,3.6,3.6,0.6,4.2,0.59,0.1,0.69,0.59,0.69,
313,Aleksandar Mitrović,Aleksandar Mitrovic,rs SRB,FW,Fulham,26-191,1994,23,10,1122,12.5,2,3,1,1,2,3,0,0.16,0.24,0.4,0.08,0.32,5.2,3.7,2.5,6.2,0.42,0.2,0.62,0.29,0.49,
339,Denis Odoi,Denis Odoi,be BEL,DF,Fulham,32-303,1988,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.03,0.02,0.05,0.03,0.05,
342,Josh Onomah,Josh Onomah,eng ENG,MF,Fulham,23-333,1997,6,2,163,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.09,0.01,0.1,0.09,0.1,
372,Tim Ream,Tim Ream,us USA,DF,Fulham,33-172,1987,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
374,Harrison Reed,Harrison Reed,eng ENG,MF,Fulham,26-058,1995,26,22,1941,21.6,0,2,0,0,0,5,0,0,0.09,0.09,0,0.09,0.2,0.2,1.3,1.5,0.01,0.06,0.07,0.01,0.07,
376,Bobby Reid,Bobby Reid,jm JAM,FWDF,Fulham,28-052,1993,25,20,1677,18.6,5,0,5,0,0,5,0,0.27,0,0.27,0.27,0.27,4.3,4.3,0.9,5.2,0.23,0.05,0.28,0.23,0.28,
384,Antonee Robinson,Antonee Robinson,us USA,DF,Fulham,23-230,1997,24,20,1802,20,0,0,0,0,0,4,1,0,0,0,0,0,0.5,0.5,1.2,1.7,0.03,0.06,0.09,0.03,0.09,
388,Marek Rodák,Marek Rodak,sk SVK,GK,Fulham,24-103,1996,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
450,Kenny Tete,Kenny Tete,nl NED,DF,Fulham,25-168,1995,16,13,1066,11.8,0,1,0,0,0,2,0,0,0.08,0.08,0,0.08,0.1,0.1,1.5,1.6,0.01,0.12,0.13,0.01,0.13,
506,Andre-Frank Zambo Anguissa,Andre Frank Zambo Anguissa,cm CMR,MF,Fulham,25-130,1995,29,23,2092,23.2,0,3,0,0,0,5,0,0,0.13,0.13,0,0.13,1.5,1.5,1.9,3.4,0.06,0.08,0.14,0.06,0.14,
16,Ezgjan Alioski,Ezgjan Alioski,mk MKD,DFMF,Leeds United,29-042,1992,27,20,1708,19,2,0,2,0,0,4,0,0.11,0,0.11,0.11,0.11,1.1,1.1,1.9,3,0.06,0.1,0.16,0.06,0.16,
36,Luke Ayling,Luke Ayling,eng ENG,DF,Leeds United,29-213,1991,29,29,2589,28.8,0,0,0,0,0,5,0,0,0,0,0,0,1,1,2.2,3.2,0.04,0.08,0.11,0.04,0.11,
42,Patrick Bamford,Patrick Bamford,eng ENG,FW,Leeds United,27-202,1993,29,29,2434,27,14,6,13,1,1,2,0,0.52,0.22,0.74,0.48,0.7,14.1,13.4,3.3,16.7,0.52,0.12,0.64,0.49,0.62,
81,Ian Carlo Poveda,Ian Carlo Poveda,eng ENG,MFDF,Leeds United,21-045,2000,10,0,253,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.7,0.13,0.13,0.26,0.13,0.26,
84,Kiko Casilla,Kiko Casilla,es ESP,GK,Leeds United,34-175,1986,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
